id,text,label
28,浙江温州市鹿城区解放南路国正大厦嘉乐广场凤凰尚品,B-prov E-prov B-city I-city E-city B-district I-district E-district B-road I-road I-road E-road B-poi I-poi I-poi E-poi B-subpoi I-subpoi I-subpoi E-subpoi B-subpoi I-subpoi I-subpoi E-subpoi
29,浙江省宁波市宁海县宁海县长街镇五福村,B-prov I-prov E-prov B-city I-city E-city B-district I-district E-district B-district I-district E-district B-town I-town E-town B-community I-community E-community
30,浙江省嘉兴市桐乡市文华小区,B-prov I-prov E-prov B-city I-city E-city B-district I-district E-district B-poi I-poi I-poi E-poi
31,桐乡市濮院镇凯旋路0000弄0单元电联,B-district I-district E-district B-town I-town E-town B-road I-road E-road B-road I-road I-road I-road E-road B-cellno I-cellno E-cellno O O
32,汽车东站小商品市场,B-poi I-poi I-poi E-poi B-subpoi I-subpoi I-subpoi I-subpoi E-subpoi
33,后城里曙光路000号-饿了么,B-road I-road E-road B-road I-road E-road B-roadno I-roadno I-roadno E-roadno O B-poi I-poi E-poi
34,东环街迎新商场新动力动漫,B-road I-road E-road B-poi I-poi I-poi E-poi B-subpoi I-subpoi I-subpoi I-subpoi E-subpoi
35,德清县武康镇春溪华庭文欣阁,B-district I-district E-district B-town I-town E-town B-poi I-poi I-poi E-poi B-subpoi I-subpoi E-subpoi
36,义乌市国际商贸城A区九楼,B-district I-district E-district B-poi I-poi I-poi I-poi E-poi B-subpoi E-subpoi B-floorno E-floorno
37,北兰江路00号市政府接待办000办公室,B-road I-road I-road E-road B-roadno I-roadno E-roadno B-poi I-poi I-poi I-poi I-poi E-poi B-subpoi I-subpoi I-subpoi I-subpoi I-subpoi E-subpoi
38,浙江省嘉兴市南湖区万达华府二期九栋,B-prov I-prov E-prov B-city I-city E-city B-district I-district E-district B-poi I-poi I-poi E-poi B-subpoi E-subpoi B-houseno E-houseno
39,龙湾滨海工业区AAA高端优品新增,B-district E-district B-devzone I-devzone I-devzone I-devzone E-devzone B-poi I-poi I-poi I-poi I-poi I-poi E-poi O O
40,篁园市场0楼00街000号,B-poi I-poi I-poi E-poi O O B-road I-road E-road B-roadno I-roadno I-roadno E-roadno
41,新疆阿拉尔市城区公安局刑事侦查大队,B-prov E-prov B-poi I-poi I-poi I-poi I-poi I-poi I-poi I-poi E-poi B-subpoi I-subpoi I-subpoi I-subpoi I-subpoi E-subpoi
42,浙江省金华市东阳市兴平东路000巷00号楼六单元,B-prov I-prov E-prov B-city I-city E-city B-district I-district E-district B-road I-road I-road E-road B-road I-road I-road E-road B-houseno I-houseno I-houseno E-houseno O O O
43,临半路000号00号楼南0楼,B-road I-road E-road B-roadno I-roadno I-roadno E-roadno B-houseno I-houseno I-houseno E-houseno S-assist B-floorno E-floorno
44,杭州市下沙0号大街中国农业银行杭州下沙支行,B-city I-city E-city B-town E-town B-road I-road I-road E-road B-poi I-poi I-poi I-poi I-poi I-poi I-poi I-poi I-poi I-poi I-poi E-poi
45,文三路0000号颐高数码00楼,B-road I-road E-road B-roadno I-roadno I-roadno I-roadno E-roadno B-poi I-poi I-poi E-poi B-floorno I-floorno E-floorno
46,柳青二区00栋00单元三楼,B-poi E-poi B-subpoi E-subpoi B-houseno I-houseno E-houseno B-cellno I-cellno I-cellno E-cellno B-floorno E-floorno
47,金华市义乌市南下朱A区00栋,B-city I-city E-city B-district I-district E-district B-poi I-poi E-poi B-subpoi E-subpoi B-houseno I-houseno E-houseno
48,浙江省金华市浦江县晶都二区,B-prov I-prov E-prov B-city I-city E-city B-district I-district E-district B-poi E-poi B-poi E-poi
49,浙江省温州市龙湾区建中街00号,B-prov I-prov E-prov B-city I-city E-city B-district I-district E-district B-road I-road E-road B-roadno I-roadno E-roadno
50,浙江省宁波鄞州区古林镇礼嘉桥村华丰盛远公寓电联,B-prov I-prov E-prov B-city E-city B-district I-district E-district B-town I-town E-town B-community I-community I-community E-community B-poi I-poi I-poi I-poi I-poi E-poi O O
51,杭州市拱墅区丰谭路银泰城购物中心,B-city I-city E-city B-district I-district E-district B-road I-road E-road B-poi I-poi I-poi I-poi I-poi I-poi E-poi
52,浙江省温州市瓯海区东方南路00号服装发展大厦00A-,B-prov I-prov E-prov B-city I-city E-city B-district I-district E-district B-road I-road I-road E-road B-roadno I-roadno E-roadno B-poi I-poi I-poi I-poi I-poi E-poi B-floorno I-floorno E-floorno O
53,罗凤镇塘口工业区罗山二路00号,B-town I-town E-town B-devzone I-devzone I-devzone I-devzone E-devzone B-road I-road I-road E-road B-roadno I-roadno E-roadno
54,杭州滨江浦沿路000号,B-city E-city B-district E-district B-road I-road E-road B-roadno I-roadno I-roadno E-roadno
55,浙江省杭州市余杭镇中泰工业园仙桥路0号,B-prov I-prov E-prov B-city I-city E-city B-town I-town E-town B-devzone I-devzone I-devzone I-devzone E-devzone B-road I-road E-road B-roadno E-roadno
56,金华市义乌市稠州北路通福0区0栋,B-city I-city E-city B-district I-district E-district B-road I-road I-road E-road B-poi E-poi B-subpoi E-subpoi B-houseno E-houseno
57,福建省厦门市湖里区五缘湾道文化展览苑A区,B-prov I-prov E-prov B-city I-city E-city B-district I-district E-district B-road I-road I-road E-road B-poi I-poi I-poi I-poi E-poi B-subpoi E-subpoi
58,浙江省宁波市鄞州区古林镇前虞村天胜四不用农场,B-prov I-prov E-prov B-city I-city E-city B-district I-district E-district B-town I-town E-town B-community I-community E-community B-poi I-poi I-poi I-poi I-poi I-poi E-poi
59,浙江台州仙居县省耕路0000号,B-prov E-prov B-city E-city B-district I-district E-district B-road I-road E-road B-roadno I-roadno I-roadno I-roadno E-roadno
60,天山路街道上海市长宁区天山路0000号0号楼,B-town I-town I-town I-town E-town B-city I-city E-city B-district I-district E-district B-road I-road E-road B-roadno I-roadno I-roadno I-roadno E-roadno B-houseno I-houseno E-houseno
61,慈溪市逍林镇周塘下路,B-district I-district E-district B-town I-town E-town B-road I-road I-road E-road
62,杭州市黄姑山路00号天科大厦浙江省科技开发中心,B-city I-city E-city B-road I-road I-road E-road B-roadno I-roadno E-roadno B-poi I-poi I-poi E-poi B-poi I-poi I-poi I-poi I-poi I-poi I-poi I-poi E-poi
63,浙江省温州市瓯海区靖宁街000号,B-prov I-prov E-prov B-city I-city E-city B-district I-district E-district B-road I-road E-road B-roadno I-roadno I-roadno E-roadno
64,姜山镇胡家坟振兴路,B-town I-town E-town B-community I-community E-community B-road I-road E-road
65,浙江省临海市杜桥镇溪口村00-00号,B-prov I-prov E-prov B-district I-district E-district B-town I-town E-town B-community I-community E-community B-houseno I-houseno I-houseno I-houseno I-houseno E-houseno
66,杭州市莫干山路0000号明智测绘,B-city I-city E-city B-road I-road I-road E-road B-roadno I-roadno I-roadno I-roadno E-roadno B-poi I-poi I-poi E-poi
67,上溪金塘路0000号楼0楼一层,B-poi E-poi B-road I-road E-road B-houseno I-houseno I-houseno I-houseno I-houseno E-houseno O O O O
68,泽雅镇泽南小区00栋0楼,B-town I-town E-town B-poi I-poi I-poi E-poi B-houseno I-houseno E-houseno B-floorno E-floorno
69,宁波北仑小港衙前纬三路00号,B-city E-city B-district E-district B-town E-town B-community E-community B-road I-road E-road B-roadno I-roadno E-roadno
70,浙江省宁波市慈溪市天元镇铜店弄后000号,B-prov I-prov E-prov B-city I-city E-city B-district I-district E-district B-town I-town E-town B-road I-road E-road S-assist B-roadno I-roadno I-roadno E-roadno
71,山口新村,B-poi I-poi I-poi E-poi
72,台州市椒江景和名苑00栋0单元,B-city I-city E-city B-district E-district B-poi I-poi I-poi E-poi B-houseno I-houseno E-houseno B-cellno I-cellno E-cellno
73,浙江省杭州市余杭经济开发区兴中路000号,B-prov I-prov E-prov B-city I-city E-city B-devzone I-devzone I-devzone I-devzone I-devzone I-devzone E-devzone B-road I-road E-road B-roadno I-roadno I-roadno E-roadno
74,中山东路000号东门银泰0A银泰西选办公室,B-road I-road I-road E-road B-roadno I-roadno I-roadno E-roadno B-poi I-poi I-poi E-poi B-floorno E-floorno B-subpoi I-subpoi I-subpoi I-subpoi I-subpoi I-subpoi E-subpoi
75,雨花区香樟路万树丹堤0栋,B-district I-district E-district B-road I-road E-road B-poi I-poi I-poi E-poi B-houseno E-houseno
76,浙江省宁波市鄞州区下应街道中海国际社区0期,B-prov I-prov E-prov B-city I-city E-city B-district I-district E-district B-town I-town I-town E-town B-community I-community I-community I-community I-community E-community B-poi E-poi
77,杭州市绍兴路000号杭州市下城区晨曦复印店,B-city I-city E-city B-road I-road E-road B-roadno I-roadno I-roadno E-roadno B-city I-city E-city B-district I-district E-district B-poi I-poi I-poi I-poi E-poi
78,白石路0000号_杭州人力资源产业园北楼,B-road I-road E-road B-roadno I-roadno I-roadno I-roadno E-roadno O B-devzone I-devzone I-devzone I-devzone I-devzone I-devzone I-devzone I-devzone E-devzone B-houseno E-houseno
79,金浦路000弄九号杠_,B-road I-road E-road B-road I-road I-road E-road B-roadno E-roadno O O
80,浙江省温州市瓯海区梧田工业基地北村小区金迪路九号,B-prov I-prov E-prov B-city I-city E-city B-district I-district E-district B-devzone I-devzone I-devzone I-devzone I-devzone E-devzone B-poi I-poi I-poi E-poi B-road I-road E-road B-roadno E-roadno
81,浙江省诸暨市艮塔路00号00楼,B-prov I-prov E-prov B-district I-district E-district B-road I-road E-road B-roadno I-roadno E-roadno B-floorno I-floorno E-floorno
82,浙江省舟山市沈家门,B-prov I-prov E-prov B-city I-city E-city B-poi I-poi E-poi
83,金华义乌市廿山里金陵北路000号电联,B-city E-city B-district I-district E-district B-town I-town E-town B-road I-road I-road E-road B-roadno I-roadno I-roadno E-roadno O O
84,杭州市体育场路000号六楼,B-city I-city E-city B-road I-road I-road E-road B-roadno I-roadno I-roadno E-roadno B-floorno E-floorno
85,浙江省绍兴市诸暨市草塔镇横畈塘000号舒工坊_蕉内仓库,B-prov I-prov E-prov B-city I-city E-city B-district I-district E-district B-town I-town E-town B-community I-community E-community B-houseno I-houseno I-houseno E-houseno B-poi I-poi E-poi O B-subpoi I-subpoi I-subpoi E-subpoi
86,东城街道九龙湖西路,B-town I-town I-town E-town B-road I-road I-road I-road E-road
87,九堡商贸中心,B-poi E-poi B-poi I-poi I-poi E-poi
88,浙江省温岭市滨海镇新北村,B-prov I-prov E-prov B-district I-district E-district B-town I-town E-town B-community I-community E-community
89,浙江省金华市永康市前仓镇馆头新街00-00号,B-prov I-prov E-prov B-city I-city E-city B-district I-district E-district B-town I-town E-town B-road I-road I-road E-road B-roadno I-roadno I-roadno I-roadno I-roadno E-roadno
90,慈溪市宗汉街道百两村蔡家00号,B-district I-district E-district B-town I-town I-town E-town B-community I-community E-community B-community E-community B-houseno I-houseno E-houseno
91,浙江省杭州市西湖区浙大紫金港校区,B-prov I-prov E-prov B-city I-city E-city B-district I-district E-district B-poi I-poi I-poi I-poi I-poi I-poi E-poi
92,桐庐其他阆苑路0000号鑫龙桂花苑,B-district E-district O O B-road I-road E-road B-roadno I-roadno I-roadno I-roadno E-roadno B-poi I-poi I-poi I-poi E-poi
93,海宁市盐仓镇之江路000号,B-district I-district E-district B-town I-town E-town B-road I-road E-road B-roadno I-roadno I-roadno E-roadno
94,上城区老浙大横路000号瑞丰格林酒店前台,B-district I-district E-district B-road I-road I-road I-road E-road B-roadno I-roadno I-roadno E-roadno B-poi I-poi I-poi I-poi I-poi E-poi B-subpoi E-subpoi
95,广东省深圳宝安沙井海欣花园中安保安公司,B-prov I-prov E-prov B-city E-city B-district E-district B-town E-town B-poi I-poi I-poi E-poi B-subpoi I-subpoi I-subpoi I-subpoi I-subpoi E-subpoi
96,广东省揭阳市普宁市小南山爱之苗幼儿园植入00米,B-prov I-prov E-prov B-city I-city E-city B-district I-district E-district B-poi I-poi E-poi B-poi I-poi I-poi I-poi I-poi E-poi O O B-distance I-distance E-distance
97,浙江省杭州市上城区近江家园六园00幢00单元,B-prov I-prov E-prov B-city I-city E-city B-district I-district E-district B-poi I-poi I-poi E-poi B-poi E-poi B-houseno I-houseno E-houseno O O O O
98,浙江省绍兴市越城区釜山西路0000号0单元电联,B-prov I-prov E-prov B-city I-city E-city B-district I-district E-district B-road I-road I-road E-road B-roadno I-roadno I-roadno I-roadno E-roadno O O O O O
99,义乌市廿三里磨具城二栋,B-district I-district E-district B-town I-town E-town B-poi I-poi E-poi B-houseno E-houseno
100,西兴街道江陵路0000号吉利大厦,B-town I-town I-town E-town B-road I-road E-road B-roadno I-roadno I-roadno I-roadno E-roadno B-poi I-poi I-poi E-poi
101,浙江省嘉兴市海宁市尖山新区闻澜路00号,B-prov I-prov E-prov B-city I-city E-city B-district I-district E-district B-poi I-poi I-poi E-poi B-road I-road E-road B-roadno I-roadno E-roadno
102,浙江省杭州市滨江区江南大道000号,B-prov I-prov E-prov B-city I-city E-city B-district I-district E-district B-road I-road I-road E-road B-roadno I-roadno I-roadno E-roadno
103,浙江省湖州市市辖区湖州市织里镇河西新村000幢,B-prov I-prov E-prov B-city I-city E-city B-district I-district E-district B-city I-city E-city B-town I-town E-town B-poi I-poi I-poi E-poi B-houseno I-houseno I-houseno E-houseno
104,洞桥镇上凌工业区宁波市鄞州中旗工艺品有限公司,B-town I-town E-town B-devzone I-devzone I-devzone I-devzone E-devzone B-poi I-poi I-poi I-poi I-poi I-poi I-poi I-poi I-poi I-poi I-poi I-poi I-poi E-poi
105,四川省成都市龙泉驿区龙都北路000号天悦国际,B-prov I-prov E-prov B-city I-city E-city B-district I-district I-district E-district B-road I-road I-road E-road B-roadno I-roadno I-roadno E-roadno B-poi I-poi I-poi E-poi
106,魏塘街道环北西路长城苏旺你手套厂,B-town I-town I-town E-town B-road I-road I-road E-road B-poi I-poi I-poi I-poi I-poi I-poi I-poi E-poi
107,阳明街道旗山村点兵山,B-town I-town I-town E-town B-community I-community E-community B-poi I-poi E-poi
108,高新九路0000号0号楼西厂房,B-road I-road I-road E-road B-roadno I-roadno I-roadno I-roadno E-roadno B-houseno I-houseno E-houseno O B-poi E-poi
109,浙江省温州市永嘉县五星工业区质检大楼对面旭日印花,B-prov I-prov E-prov B-city I-city E-city B-district I-district E-district B-devzone I-devzone I-devzone I-devzone E-devzone B-poi I-poi I-poi E-poi B-assist E-assist B-poi I-poi I-poi E-poi
110,慈溪市孙塘北路0000号-00楼,B-district I-district E-district B-road I-road I-road E-road B-roadno I-roadno I-roadno I-roadno E-roadno O B-floorno I-floorno E-floorno
111,浙江省-温州-永嘉县瓯北镇和一村,B-prov I-prov E-prov O B-city E-city O B-district I-district E-district B-town I-town E-town B-community I-community E-community
112,杭州市杭州市大学路000号0单元,B-city I-city E-city B-city I-city E-city B-road I-road E-road B-roadno I-roadno I-roadno E-roadno O O O
113,绍兴越城区霞西路北海联合市场00幢,B-city E-city B-district I-district E-district B-road I-road E-road B-poi I-poi I-poi I-poi I-poi E-poi B-houseno I-houseno E-houseno
114,浙江省湖州市吴兴区南园路派格宠物店,B-prov I-prov E-prov B-city I-city E-city B-district I-district E-district B-road I-road E-road B-poi I-poi I-poi I-poi E-poi
115,鹿城区雪山路瑞沁花园0栋电联,B-district I-district E-district B-road I-road E-road B-poi I-poi I-poi E-poi B-houseno E-houseno O O
116,浙江省温州市瓯海区娄桥上汇豪新路0号,B-prov I-prov E-prov B-city I-city E-city B-district I-district E-district B-town E-town B-community E-community B-road I-road E-road B-roadno E-roadno
117,土贵乌拉镇东胜利谢某某收,B-town I-town I-town I-town E-town B-community I-community E-community O O O O
118,璜土镇融城苑00栋,B-town I-town E-town B-poi I-poi E-poi B-houseno I-houseno E-houseno
119,福全镇中心商贸区无名大厦000楼,B-town I-town E-town B-poi I-poi I-poi I-poi E-poi B-poi I-poi I-poi E-poi O O O O
120,广东省-深圳市-福田区华强北振华手机城,B-prov I-prov E-prov O B-city I-city E-city O B-district I-district E-district B-poi I-poi E-poi B-poi I-poi I-poi I-poi E-poi
121,信河街华侨饭店名品广场0AAAAAAAA,B-road I-road E-road B-poi I-poi I-poi E-poi B-subpoi I-subpoi I-subpoi E-subpoi B-floorno E-floorno B-subpoi I-subpoi I-subpoi I-subpoi I-subpoi I-subpoi E-subpoi
122,江东区江东北路0000号运鑫公寓电联,B-district I-district E-district B-road I-road I-road E-road B-roadno I-roadno I-roadno I-roadno E-roadno B-poi I-poi I-poi E-poi O O
123,浙江省平阳县水头镇东川中路000号,B-prov I-prov E-prov B-district I-district E-district B-town I-town E-town B-road I-road I-road E-road B-roadno I-roadno I-roadno E-roadno
124,洋河工业区新发自动化公司,B-devzone I-devzone I-devzone I-devzone E-devzone B-poi I-poi I-poi I-poi I-poi I-poi E-poi
125,北苑街道季宅一区000栋一单元,B-town I-town I-town E-town B-poi E-poi B-subpoi E-subpoi B-houseno I-houseno I-houseno E-houseno O O O
126,盛世天城二期00幢000单元,B-poi I-poi I-poi E-poi B-poi E-poi B-houseno I-houseno E-houseno O O O O O
127,观海卫镇工业园东区师桥村浙东模具城,B-devzone I-devzone I-devzone I-devzone I-devzone I-devzone E-devzone B-poi E-poi B-community I-community E-community B-subpoi I-subpoi I-subpoi I-subpoi E-subpoi
128,浙江省绍兴市山水名家璞园0幢,B-prov I-prov E-prov B-city I-city E-city B-poi I-poi I-poi E-poi B-poi E-poi B-houseno E-houseno
129,金华市义乌市净居西路0000号,B-city I-city E-city B-district I-district E-district B-road I-road I-road E-road B-roadno I-roadno I-roadno I-roadno E-roadno
130,浙江省宁波市海曙区宁波万豪中心和义路000号,B-prov I-prov E-prov B-city I-city E-city B-district I-district E-district B-city E-city B-poi I-poi I-poi E-poi B-road I-road E-road B-roadno I-roadno I-roadno E-roadno
131,浙江省东阳市江北街道武警中队,B-prov I-prov E-prov B-district I-district E-district B-town I-town I-town E-town B-poi I-poi I-poi E-poi
132,台州台州市仙居酒坊巷000号,B-city E-city B-city I-city E-city B-district E-district B-road I-road E-road B-roadno I-roadno I-roadno E-roadno
133,浙江省杭州市西湖区学院路00号黄龙国际中心A座,B-prov I-prov E-prov B-city I-city E-city B-district I-district E-district B-road I-road E-road B-roadno I-roadno E-roadno B-poi I-poi I-poi I-poi I-poi E-poi B-houseno E-houseno
134,吐鲁番市托克逊县友好路二商所楼下芳龄美容院,B-city I-city I-city E-city B-district I-district I-district E-district B-road I-road E-road B-poi I-poi E-poi B-assist E-assist B-poi I-poi I-poi I-poi E-poi
135,临海市江南街道江南春晓,B-district I-district E-district B-town I-town I-town E-town B-poi I-poi I-poi E-poi
136,金华金东区多湖街道翠湖文苑电联,B-city E-city B-district I-district E-district B-town I-town I-town E-town B-poi I-poi I-poi E-poi O O
137,城区街道云南省红河哈尼族彝族自治州个旧市城区街道云南省红河州个旧市七层楼金湖小学旁,B-town I-town I-town E-town B-prov I-prov E-prov B-city I-city I-city I-city I-city I-city I-city I-city I-city E-city B-district I-district E-district B-town I-town I-town E-town B-prov I-prov E-prov B-city I-city E-city B-district I-district E-district O O O B-poi I-poi I-poi E-poi O
138,浙江省杭州市西湖区文三西路000号0幢,B-prov I-prov E-prov B-city I-city E-city B-district I-district E-district B-road I-road I-road E-road B-roadno I-roadno I-roadno E-roadno B-houseno E-houseno
139,浙江省绍兴市上虞市杭州湾工业园区经十一路0号贝斯美公司,B-prov I-prov E-prov B-city I-city E-city B-district I-district E-district B-devzone I-devzone I-devzone I-devzone I-devzone I-devzone E-devzone B-road I-road I-road E-road B-roadno E-roadno B-poi I-poi I-poi I-poi E-poi
140,南湖街道双溪路0000号赞成丽景苑000幢,B-town I-town I-town E-town B-road I-road E-road B-roadno I-roadno I-roadno I-roadno E-roadno B-poi I-poi I-poi I-poi E-poi B-houseno I-houseno I-houseno E-houseno
141,清风街道九华大道_新城明珠00幢,B-town I-town I-town E-town B-road I-road I-road E-road O B-poi I-poi I-poi E-poi B-houseno I-houseno E-houseno
142,宁波鄞州高桥秀峰工业区秀丰路000号,B-city E-city B-district E-district B-town E-town B-devzone I-devzone I-devzone I-devzone E-devzone B-road I-road E-road B-roadno I-roadno I-roadno E-roadno
143,浙江省杭州江干区秋涛北路三华天运花园,B-prov I-prov E-prov B-city E-city B-district I-district E-district B-road I-road I-road E-road B-poi I-poi I-poi I-poi I-poi E-poi
144,金家新村000幢金家新村00幢,B-poi I-poi I-poi E-poi B-houseno I-houseno I-houseno E-houseno B-poi I-poi I-poi E-poi B-houseno I-houseno E-houseno
145,解放北路000号新金穗大厦0楼胜达高科,B-road I-road I-road E-road B-roadno I-roadno I-roadno E-roadno B-poi I-poi I-poi I-poi E-poi B-floorno E-floorno B-subpoi I-subpoi I-subpoi E-subpoi
146,桐乡崇福开发区000国道旁,B-district E-district B-devzone I-devzone I-devzone I-devzone E-devzone B-road I-road I-road I-road E-road S-assist
147,延安路000号城东供销超市总店电联,B-road I-road E-road B-roadno I-roadno I-roadno E-roadno B-poi I-poi I-poi I-poi I-poi I-poi I-poi E-poi O O
148,广东潮州市饶平县广东省潮州市_饶平县A洲镇井新路0000女装,B-prov E-prov B-city I-city E-city B-district I-district E-district B-prov I-prov E-prov B-city I-city E-city O B-district I-district E-district B-town I-town E-town B-road I-road E-road B-poi I-poi I-poi I-poi I-poi E-poi
149,衢江经济开发区海力大道0号浙江圣林机械有限公司,B-devzone I-devzone I-devzone I-devzone I-devzone I-devzone E-devzone B-road I-road I-road E-road B-roadno E-roadno B-poi I-poi I-poi I-poi I-poi I-poi I-poi I-poi I-poi E-poi
150,浙江省温州市鹿城区康兴路000号,B-prov I-prov E-prov B-city I-city E-city B-district I-district E-district B-road I-road E-road B-roadno I-roadno I-roadno E-roadno
151,大街八狮中巷0号院,B-road E-road B-road I-road I-road E-road B-poi I-poi E-poi
152,浙江杭州市江干区九堡镇老杭海路0号-,B-prov E-prov B-city I-city E-city B-district I-district E-district B-town I-town E-town B-road I-road I-road E-road B-roadno E-roadno O
153,浙江省义乌市北苑街道春晗二区00栋0单元,B-prov I-prov E-prov B-district I-district E-district B-town I-town I-town E-town B-poi E-poi B-subpoi E-subpoi B-houseno I-houseno E-houseno B-cellno I-cellno E-cellno
154,瑞安市上望街道上望新街000号,B-district I-district E-district B-town I-town I-town E-town B-road I-road I-road E-road B-roadno I-roadno I-roadno E-roadno
155,广州市白云区江高镇神山工业园振华北路00号自编0号楼第四层,B-city I-city E-city B-district I-district E-district B-town I-town E-town B-devzone I-devzone I-devzone I-devzone E-devzone B-road I-road I-road E-road B-roadno I-roadno E-roadno B-poi E-poi B-houseno I-houseno E-houseno O O O
156,东洲街道东洲工业功能区大华科技,B-town I-town I-town E-town B-devzone I-devzone I-devzone I-devzone I-devzone I-devzone E-devzone B-poi I-poi I-poi E-poi
157,康山街道西塞山路江南车城公交站东江南车城,B-town I-town I-town E-town B-road I-road I-road E-road B-poi I-poi I-poi I-poi I-poi I-poi E-poi B-poi I-poi I-poi I-poi E-poi
158,杭州市萧山区楼塔镇楼英村楼塔木器厂,B-city I-city E-city B-district I-district E-district B-town I-town E-town B-community I-community E-community B-poi I-poi I-poi I-poi E-poi
